data_referencia,ra,fase,turma,nome,ano_nasc,idade_22,gênero,ano_ingresso,instituição_de_ensino,pedra_20,pedra_21,pedra_22,inde_22,cg,cf,ct,nº_av,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,iaa,ieg,ips,rec_psicologia,ida,matem,portug,inglês,indicado,atingiu_pv,ipv,ian,fase_ideal,defasagem,destaque_ieg,destaque_ida,destaque_ipv,ano_referencia,inde_2023,pedra_2023,nome_anonimizado,data_de_nasc,idade,pedra_23,inde_23,ipp,mat,por,ing,fase_ideal,destaque_ipv_1,inde_2024,pedra_2024,avaliador5,avaliador6,escola,ativo/inativo,ativo/inativo_1
2022-01-01,RA-622,1,N,Aluno-622,2010.0,12.0,Menina,2019,Escola Pública,Quartzo,Quartzo,Quartzo,4.934,828.0,190.0,10.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,3.5,3.8,7.5,Não atendido,3.8,4.8,2.7,,Não,Não,6.0,5.0,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-623,1,N,Aluno-623,2009.0,13.0,Menino,2022,Escola Pública,,,Ametista,7.524,300.0,79.0,4.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,7.5,9.0,7.5,Não atendido,8.3,9.3,7.2,,Não,Não,7.389,5.0,Fase 3 (7º e 8º ano),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-624,1,N,Aluno-624,2012.0,10.0,Menino,2022,Escola Pública,,,Ametista,7.425,346.0,91.0,6.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,9.0,8.9,7.5,Não atendido,6.8,8.0,5.5,,Não,Não,7.722,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-625,1,N,Aluno-625,2011.0,11.0,Menino,2022,Escola Pública,,,Ametista,7.483,319.0,82.0,5.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,8.0,9.2,7.5,Não atendido,7.8,8.5,7.0,,Não,Não,7.333,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-626,1,N,Aluno-626,2011.0,11.0,Menino,2021,Escola Pública,,Ágata,Quartzo,5.818,748.0,178.0,9.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,7.4,7.6,7.5,Não atendido,1.3,2.5,0.0,,Não,Não,7.278,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-627,1,N,Aluno-627,2012.0,10.0,Menina,2022,Escola Pública,,,Ágata,6.621,619.0,150.0,8.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,7.0,6.7,7.5,Não atendido,6.5,6.2,6.8,,Não,Não,7.0,5.0,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-628,1,N,Aluno-628,2011.0,11.0,Menino,2022,Escola Pública,,,Ametista,7.577,282.0,76.0,3.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,9.5,7.6,7.5,Não atendido,9.2,9.3,9.0,,Não,Não,7.333,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-629,1,N,Aluno-629,2013.0,9.0,Menino,2022,Escola Pública,,,Topázio,8.11,112.0,24.0,1.0,3.0,Avaliador-7,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Mantido na Fase atual,,,9.0,10.0,7.5,Não atendido,7.0,5.0,9.0,,Não,Não,7.278,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-62,5,B,Aluno-62,2005.0,17.0,Menino,2022,Escola Pública,,,Ametista,7.891,173.0,11.0,4.0,3.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,9.4,7.5,Não atendido,9.3,8.5,10.0,,Sim,Não,7.25,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-608,1,L,Aluno-608,2012.0,10.0,Menino,2022,Escola Pública,,,Ametista,7.216,422.0,108.0,9.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,7.8,9.6,7.5,Sem limitações,6.3,3.0,9.5,,Não,Não,7.222,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-607,1,L,Aluno-607,2012.0,10.0,Menino,2022,Escola Pública,,,Ágata,6.44,652.0,158.0,12.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,6.8,8.1,7.5,Sem limitações,4.0,3.0,5.0,,Não,Não,7.444,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-606,1,L,Aluno-606,2012.0,10.0,Menino,2022,Escola Pública,,,Ágata,6.127,704.0,169.0,14.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,9.5,9.0,7.5,Sem limitações,1.8,2.0,1.5,,Não,Não,6.111,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-586,1,K,Aluno-586,2012.0,10.0,Menina,2021,Rede Decisão,,Topázio,Ametista,7.988,146.0,37.0,3.0,3.0,Avaliador-4,Promovido de Fase + Bolsa,Avaliador-2,Promovido de Fase,,Promovido de Fase + Bolsa,,,10.0,9.6,5.6,Requer avaliação,8.2,8.2,8.2,,Não,Sim,8.778,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-587,1,K,Aluno-587,2012.0,10.0,Menino,2022,Escola Pública,,,Ágata,6.632,615.0,148.0,10.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,9.5,9.3,7.5,Não atendido,3.8,1.0,6.5,,Não,Não,6.167,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-588,1,K,Aluno-588,2013.0,9.0,Menina,2021,Rede Decisão,,Topázio,Topázio,8.622,26.0,4.0,2.0,3.0,Avaliador-4,Promovido de Fase + Bolsa,Avaliador-2,Promovido de Fase,,Promovido de Fase + Bolsa,,,9.5,10.0,5.6,Sem limitações,9.3,9.3,9.2,,Não,Não,8.278,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-589,1,K,Aluno-589,2013.0,9.0,Menina,2022,Escola Pública,,,Ametista,7.744,219.0,57.0,4.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,9.5,9.4,7.5,Não atendido,5.8,3.0,8.5,,Não,Não,7.056,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-59,5,B,Aluno-59,2005.0,17.0,Menino,2022,Escola Pública,,,Ametista,7.642,257.0,15.0,7.0,3.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,9.2,9.3,7.5,Não atendido,7.2,7.0,5.7,8.8,Não,Não,7.917,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-590,1,K,Aluno-590,2012.0,10.0,Menina,2020,Escola Pública,Ametista,Ágata,Ametista,7.435,341.0,90.0,6.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Promovido de Fase,,,8.5,8.6,7.5,Não atendido,7.4,5.7,9.2,,Não,Não,7.611,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-591,1,K,Aluno-591,2011.0,11.0,Menino,2021,Escola Pública,,Ametista,Ametista,7.507,305.0,80.0,5.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,9.5,9.3,7.5,Não atendido,7.1,7.8,6.3,,Não,Não,7.389,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-592,1,K,Aluno-592,2012.0,10.0,Menina,2020,Escola Pública,Ametista,Ametista,Ametista,7.381,368.0,96.0,9.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Promovido de Fase,,,8.0,8.5,5.6,Requer avaliação,8.4,7.2,9.7,,Não,Não,7.778,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-593,1,K,Aluno-593,2012.0,10.0,Menina,2021,Escola Pública,,Topázio,Ágata,6.254,694.0,168.0,11.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Mantido na Fase atual,,,7.5,7.4,7.5,Não atendido,4.6,3.0,6.2,,Não,Não,6.278,5.0,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-594,1,K,Aluno-594,2012.0,10.0,Menino,2022,Escola Pública,,,Ametista,7.392,364.0,95.0,8.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,8.0,9.4,7.5,Não atendido,7.8,6.0,9.5,,Não,Não,6.889,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-595,1,K,Aluno-595,2010.0,12.0,Menino,2018,Escola Pública,Ágata,Ametista,Quartzo,5.18,813.0,187.0,12.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,8.5,5.5,7.5,Não atendido,1.0,2.0,0.0,,Não,Não,6.0,5.0,Fase 3 (7º e 8º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-596,1,K,Aluno-596,2013.0,9.0,Menina,2021,Escola Pública,,Topázio,Topázio,8.971,4.0,1.0,1.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,,Promovido de Fase + Bolsa,,,9.5,10.0,7.5,Sem limitações,9.3,8.8,9.8,,Sim,Sim,9.0,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-597,1,L,Aluno-597,2013.0,9.0,Menino,2022,Escola Pública,,,Topázio,8.265,67.0,14.0,1.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,9.0,10.0,7.5,Sem limitações,8.0,6.5,9.5,,Não,Não,7.056,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-598,1,L,Aluno-598,2011.0,11.0,Menina,2022,Escola Pública,,,Ágata,6.35,669.0,162.0,13.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,9.5,7.2,7.5,Sem limitações,3.7,4.7,2.7,,Não,Não,6.944,5.0,Fase 2 (5º e 6º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-599,1,L,Aluno-599,2012.0,10.0,Menino,2022,Escola Pública,,,Topázio,8.2,85.0,19.0,2.0,3.0,Avaliador-4,Promovido de Fase,Avaliador-2,Promovido de Fase,,Promovido de Fase + Bolsa,,,9.5,9.2,7.5,Sem limitações,9.1,8.3,9.8,,Sim,Sim,8.556,5.0,Fase 2 (5º e 6º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-6,7,A,Aluno-6,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,Quartzo,5.848,745.0,16.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-60,5,B,Aluno-60,2004.0,18.0,Menina,2021,Escola Pública,,Quartzo,Quartzo,5.537,787.0,53.0,16.0,3.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,6.7,6.0,7.5,Não atendido,4.9,5.0,6.2,3.5,Não,Não,6.167,2.5,Fase 8 (Universitários),-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
2022-01-01,RA-600,1,L,Aluno-600,2013.0,9.0,Menina,2021,Escola Pública,,Ametista,Ágata,7.011,483.0,126.0,10.0,3.0,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,8.5,8.4,7.5,Sem limitações,3.9,2.8,5.0,,Não,Não,6.833,10.0,Fase 1 (4º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,,,,,,,,,,,,,,,,,,,,
